CLAMART,2
"""""""""""""""""""""""""""""""CHATENAY MALABRY""""""""""""""""""""""""""""""",1
ARNOUVILLE,1
ARGENTEUIL,5
"""""""""""""""""""""""""""""""AUVERS SUR OISE""""""""""""""""""""""""""""""",1
ARCOMPS,1
